direction,Taxon,gene_id
all,Culicoidibacter,hsd3b7
all,Culicoidibacter,pank1a
all,Culicoidibacter,chia.3
all,Culicoidibacter,ciarta
all,Culicoidibacter,slc13a1
all,Culicoidibacter,gja13.1
all,Culicoidibacter,mtus1b
all,Culicoidibacter,si:dkey-286h2.3
all,Culicoidibacter,irs2a
all,Culicoidibacter,ulk2
all,Culicoidibacter,si:ch211-132b12.7
all,Culicoidibacter,otop2
all,Culicoidibacter,bbc3
all,Culicoidibacter,alp3
all,Culicoidibacter,cyp1a
all,Culicoidibacter,cyp4v2b
all,Culicoidibacter,gbp
all,Culicoidibacter,tp53inp1
all,Culicoidibacter,aatf
all,Culicoidibacter,dhrs1
all,Culicoidibacter,agpat2
all,Culicoidibacter,retsat.1
all,Culicoidibacter,mgst3b
all,Culicoidibacter,ugt1ab
all,Culicoidibacter,cyp46a1.1
all,Culicoidibacter,ugt1a2
all,Shewanella,tpm3
all,Shewanella,ftr22
all,Shewanella,pitpnbl
all,Shewanella,actb1
all,Shewanella,LOC100332293
all,Shewanella,zgc:110425
all,Flavobacterium,ap2a1
all,Flavobacterium,iqgap1
all,Flavobacterium,fbxo44.3
all,Flavobacterium,xrcc4
all,Flavobacterium,si:ch211-156b7.4
all,Flavobacterium,mrps26
all,Flavobacterium,psma5
all,Flavobacterium,vcp
all,Flavobacterium,zgc:113425
all,Flavobacterium,anp32a
all,Flavobacterium,gstm.3
all,Flavobacterium,psmc6
all,Flavobacterium,hmgb2a
all,Flavobacterium,atp6v1ba
all,Flavobacterium,prpf8
all,Flavobacterium,banf1
all,Flavobacterium,psmg1
all,Flavobacterium,nudcd1
all,Flavobacterium,snrpd3
all,Flavobacterium,ilf3b
all,Flavobacterium,psmd11b
all,Flavobacterium,snrnp200
all,Flavobacterium,ube2na
all,Flavobacterium,ap1g2
all,Flavobacterium,psmd14
all,Flavobacterium,lmnb1
all,Flavobacterium,psmc4
all,Flavobacterium,pomp
all,Flavobacterium,nup62l
all,Flavobacterium,psmb3
all,Flavobacterium,tdg.1
all,Flavobacterium,adrm1
all,Flavobacterium,psmc5
all,Flavobacterium,si:ch211-218c6.8
all,Flavobacterium,fastkd1
all,Flavobacterium,cherp
all,Flavobacterium,wdr18
all,Flavobacterium,gzma
all,Flavobacterium,ap1b1
all,Flavobacterium,tbck
all,Flavobacterium,nkrf
all,Flavobacterium,timm10
all,Flavobacterium,chchd4a
all,Flavobacterium,psma6a
all,Flavobacterium,hnrnpa1a
all,Flavobacterium,smc1al
all,Flavobacterium,hnrnpl2
all,Flavobacterium,focad
all,Flavobacterium,wdr73
all,Flavobacterium,hnrnpul1l
all,Flavobacterium,cnp
all,Flavobacterium,hdac1
all,Flavobacterium,med23
all,Flavobacterium,ddx39ab
all,Flavobacterium,srsf7a
all,Flavobacterium,sgpp2
all,Flavobacterium,ctbp1l
all,Flavobacterium,uqcc1
all,Flavobacterium,fnta
all,Flavobacterium,si:ch211-284o19.8
all,Flavobacterium,cpsf3
all,Flavobacterium,hnrnpl
all,Flavobacterium,iah1
all,Flavobacterium,hmgn2
all,Flavobacterium,tuba8l4
all,Flavobacterium,anxa5b
all,Flavobacterium,psmd13
all,Flavobacterium,ubxn1
all,Flavobacterium,lmnb2
all,Flavobacterium,uchl5
all,Flavobacterium,ccdc22
all,Flavobacterium,ndor1
all,Flavobacterium,ehd1b
all,Flavobacterium,oxsr1a
all,Flavobacterium,rbm4.3
all,Flavobacterium,ctbp1
all,Flavobacterium,ppm1g
all,Flavobacterium,ppp1r8b
all,Flavobacterium,sae1
all,Flavobacterium,thyn1
all,Flavobacterium,chtopa
all,Flavobacterium,dot1l
all,Flavobacterium,eif4ebp3l
all,Cetobacterium,selenos
all,Cetobacterium,thbd
all,Cetobacterium,vegfc
all,Cetobacterium,fbn1
positive,Culicoidibacter,hsd3b7
positive,Culicoidibacter,pank1a
positive,Culicoidibacter,chia.3
positive,Culicoidibacter,ciarta
positive,Culicoidibacter,slc13a1
positive,Culicoidibacter,gja13.1
positive,Culicoidibacter,mtus1b
positive,Culicoidibacter,si:dkey-286h2.3
positive,Culicoidibacter,irs2a
positive,Culicoidibacter,ulk2
positive,Culicoidibacter,si:ch211-132b12.7
positive,Culicoidibacter,otop2
positive,Culicoidibacter,bbc3
positive,Culicoidibacter,alp3
positive,Culicoidibacter,cyp1a
positive,Culicoidibacter,cyp4v2b
positive,Culicoidibacter,gbp
positive,Culicoidibacter,tp53inp1
positive,Culicoidibacter,dhrs1
positive,Culicoidibacter,agpat2
positive,Culicoidibacter,retsat.1
positive,Culicoidibacter,mgst3b
positive,Culicoidibacter,ugt1ab
positive,Culicoidibacter,cyp46a1.1
positive,Culicoidibacter,ugt1a2
positive,Shewanella,tpm3
positive,Shewanella,ftr22
positive,Shewanella,actb1
positive,Shewanella,zgc:110425
positive,Flavobacterium,eif4ebp3l
negative,Culicoidibacter,aatf
negative,Shewanella,pitpnbl
negative,Shewanella,LOC100332293
negative,Flavobacterium,ap2a1
negative,Flavobacterium,iqgap1
negative,Flavobacterium,fbxo44.3
negative,Flavobacterium,xrcc4
negative,Flavobacterium,si:ch211-156b7.4
negative,Flavobacterium,mrps26
negative,Flavobacterium,psma5
negative,Flavobacterium,vcp
negative,Flavobacterium,zgc:113425
negative,Flavobacterium,anp32a
negative,Flavobacterium,gstm.3
negative,Flavobacterium,psmc6
negative,Flavobacterium,hmgb2a
negative,Flavobacterium,atp6v1ba
negative,Flavobacterium,prpf8
negative,Flavobacterium,banf1
negative,Flavobacterium,psmg1
negative,Flavobacterium,nudcd1
negative,Flavobacterium,snrpd3
negative,Flavobacterium,ilf3b
negative,Flavobacterium,psmd11b
negative,Flavobacterium,snrnp200
negative,Flavobacterium,ube2na
negative,Flavobacterium,ap1g2
negative,Flavobacterium,psmd14
negative,Flavobacterium,lmnb1
negative,Flavobacterium,psmc4
negative,Flavobacterium,pomp
negative,Flavobacterium,nup62l
negative,Flavobacterium,psmb3
negative,Flavobacterium,tdg.1
negative,Flavobacterium,adrm1
negative,Flavobacterium,psmc5
negative,Flavobacterium,si:ch211-218c6.8
negative,Flavobacterium,fastkd1
negative,Flavobacterium,cherp
negative,Flavobacterium,wdr18
negative,Flavobacterium,gzma
negative,Flavobacterium,ap1b1
negative,Flavobacterium,tbck
negative,Flavobacterium,nkrf
negative,Flavobacterium,timm10
negative,Flavobacterium,chchd4a
negative,Flavobacterium,psma6a
negative,Flavobacterium,hnrnpa1a
negative,Flavobacterium,smc1al
negative,Flavobacterium,hnrnpl2
negative,Flavobacterium,focad
negative,Flavobacterium,wdr73
negative,Flavobacterium,hnrnpul1l
negative,Flavobacterium,cnp
negative,Flavobacterium,hdac1
negative,Flavobacterium,med23
negative,Flavobacterium,ddx39ab
negative,Flavobacterium,srsf7a
negative,Flavobacterium,sgpp2
negative,Flavobacterium,ctbp1l
negative,Flavobacterium,uqcc1
negative,Flavobacterium,fnta
negative,Flavobacterium,si:ch211-284o19.8
negative,Flavobacterium,cpsf3
negative,Flavobacterium,hnrnpl
negative,Flavobacterium,iah1
negative,Flavobacterium,hmgn2
negative,Flavobacterium,tuba8l4
negative,Flavobacterium,anxa5b
negative,Flavobacterium,psmd13
negative,Flavobacterium,ubxn1
negative,Flavobacterium,lmnb2
negative,Flavobacterium,uchl5
negative,Flavobacterium,ccdc22
negative,Flavobacterium,ndor1
negative,Flavobacterium,ehd1b
negative,Flavobacterium,oxsr1a
negative,Flavobacterium,rbm4.3
negative,Flavobacterium,ctbp1
negative,Flavobacterium,ppm1g
negative,Flavobacterium,ppp1r8b
negative,Flavobacterium,sae1
negative,Flavobacterium,thyn1
negative,Flavobacterium,chtopa
negative,Flavobacterium,dot1l
negative,Cetobacterium,selenos
negative,Cetobacterium,thbd
negative,Cetobacterium,vegfc
negative,Cetobacterium,fbn1
