ID,Description,p.adjust,Count,geneID,log_padj,Taxon,Description_plot,Description_wrapped
GO:0006511,ubiquitin-dependent protein catabolic process,1.481824725134985e-7,14,fbxo44.3/psma5/vcp/psmc6/psmd11b/psmd14/psmc4/psmb3/psmc5/psma6a/psmd13/ubxn1/uchl5/ccdc22,6.8292031630290415,Flavobacterium,ubiquitin-dependent protein catabolic process,ubiquitin-dependent protein catabolic process
GO:0019941,modification-dependent protein catabolic process,1.481824725134985e-7,14,fbxo44.3/psma5/vcp/psmc6/psmd11b/psmd14/psmc4/psmb3/psmc5/psma6a/psmd13/ubxn1/uchl5/ccdc22,6.8292031630290415,Flavobacterium,modification-dependent protein catabolic process,modification-dependent protein catabolic process
GO:0043632,modification-dependent macromolecule catabolic process,1.481824725134985e-7,14,fbxo44.3/psma5/vcp/psmc6/psmd11b/psmd14/psmc4/psmb3/psmc5/psma6a/psmd13/ubxn1/uchl5/ccdc22,6.8292031630290415,Flavobacterium,modification-dependent macromolecule catabolic process,"modification-dependent macromolecule catabolic
process"
GO:0051603,proteolysis involved in protein catabolic process,1.296951671074803e-6,14,fbxo44.3/psma5/vcp/psmc6/psmd11b/psmd14/psmc4/psmb3/psmc5/psma6a/psmd13/ubxn1/uchl5/ccdc22,5.887076206935647,Flavobacterium,proteolysis involved in protein catabolic process,proteolysis involved in protein catabolic process
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,8.655180430111877e-6,10,fbxo44.3/psma5/vcp/psmc6/psmd14/psmc4/psmb3/psmc5/psma6a/ubxn1,5.062723874179669,Flavobacterium,proteasome-mediated ubiquitin-dependent protein catabolic process,"proteasome-mediated ubiquitin-dependent protein
catabolic process"
GO:0043248,proteasome assembly,1.9365934268536793e-5,4,psmg1/psmd11b/pomp/adrm1,4.712961546553821,Flavobacterium,proteasome assembly,proteasome assembly
GO:0010498,proteasomal protein catabolic process,4.805872589957311e-5,10,fbxo44.3/psma5/vcp/psmc6/psmd14/psmc4/psmb3/psmc5/psma6a/ubxn1,4.318227747100981,Flavobacterium,proteasomal protein catabolic process,proteasomal protein catabolic process
GO:0006397,mRNA processing,4.873058187827594e-5,10,prpf8/snrpd3/ilf3b/snrnp200/hnrnpl2/hnrnpul1l/ddx39ab/srsf7a/cpsf3/hnrnpl,4.312198402798561,Flavobacterium,mRNA processing,mRNA processing
GO:0016071,mRNA metabolic process,1.314565746279132e-4,11,prpf8/snrpd3/ilf3b/snrnp200/fastkd1/hnrnpl2/hnrnpul1l/ddx39ab/srsf7a/cpsf3/hnrnpl,3.881217688346364,Flavobacterium,mRNA metabolic process,mRNA metabolic process
GO:0008380,RNA splicing,2.2728487791368e-4,9,prpf8/snrpd3/ilf3b/snrnp200/hnrnpl2/hnrnpul1l/ddx39ab/srsf7a/hnrnpl,3.643429458499035,Flavobacterium,RNA splicing,RNA splicing
GO:0000375,"RNA splicing, via transesterification reactions",0.0016328033530494219,7,prpf8/snrpd3/ilf3b/snrnp200/hnrnpul1l/ddx39ab/srsf7a,2.7870661164440156,Flavobacterium,"RNA splicing, via transesterification reactions","RNA splicing, via transesterification reactions"
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.0016328033530494219,7,prpf8/snrpd3/ilf3b/snrnp200/hnrnpul1l/ddx39ab/srsf7a,2.7870661164440156,Flavobacterium,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","RNA splicing, via transesterification reactions
with bulged adenosine as nucleophile"
GO:0000398,"mRNA splicing, via spliceosome",0.0016328033530494219,7,prpf8/snrpd3/ilf3b/snrnp200/hnrnpul1l/ddx39ab/srsf7a,2.7870661164440156,Flavobacterium,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome"
GO:0006998,nuclear envelope organization,0.004977101893389238,3,banf1/lmnb1/lmnb2,2.303023468099916,Flavobacterium,nuclear envelope organization,nuclear envelope organization
GO:2000058,regulation of ubiquitin-dependent protein catabolic process,0.01954408381448567,3,vcp/ubxn1/ccdc22,1.7089846835658016,Flavobacterium,regulation of ubiquitin-dependent protein catabolic process,"regulation of ubiquitin-dependent protein
catabolic process"
GO:0010498,proteasomal protein catabolic process,0.08418623424358569,1,selenos,1.0747589165859002,Cetobacterium,proteasomal protein catabolic process,proteasomal protein catabolic process
