ID,Description,p.adjust,Count,geneID,log_padj,Taxon,Description_plot,Description_short,Description_wrapped
GO:0004497,monooxygenase activity,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944,Culicoidibacter,monooxygenase activity,monooxygenase activity,monooxygenase activity
GO:0020037,heme binding,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944,Culicoidibacter,heme binding,heme binding,heme binding
GO:0046906,tetrapyrrole binding,6.625263635344648e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1787968354141944,Culicoidibacter,tetrapyrrole binding,tetrapyrrole binding,tetrapyrrole binding
GO:0005506,iron ion binding,7.424257353951253e-4,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,3.1293469821739257,Culicoidibacter,iron ion binding,iron ion binding,iron ion binding
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.001166417971793715,4,si:dkey-286h2.3/cyp1a/cyp4v2b/cyp46a1.1,2.933145797504572,Culicoidibacter,Oxidoreductase activity (GO:0016705),Oxidoreductase activity,Oxidoreductase activity (GO:0016705)
GO:0015020,glucuronosyltransferase activity,0.009934327429335367,2,ugt1ab/ugt1a2,2.002861530025302,Culicoidibacter,glucuronosyltransferase activity,glucuronosyltransferase activity,glucuronosyltransferase activity
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",0.015951635462145248,2,si:dkey-286h2.3/cyp1a,1.79719478371821,Culicoidibacter,Oxidoreductase activity (GO:0016712),Oxidoreductase activity,Oxidoreductase activity (GO:0016712)
GO:0031210,phosphatidylcholine binding,0.01781323027214814,1,pitpnbl,1.7492573179224673,Shewanella,phosphatidylcholine binding,phosphatidylcholine binding,phosphatidylcholine binding
GO:0120014,phospholipid transfer activity,0.01781323027214814,1,pitpnbl,1.7492573179224673,Shewanella,phospholipid transfer activity,phospholipid transfer activity,phospholipid transfer activity
GO:0050997,quaternary ammonium group binding,0.01781323027214814,1,pitpnbl,1.7492573179224673,Shewanella,quaternary ammonium group binding,quaternary ammonium group binding,quaternary ammonium group binding
GO:0044877,protein-containing complex binding,0.01781323027214814,2,tpm3/zgc:110425,1.7492573179224673,Shewanella,protein-containing complex binding,protein-containing complex binding,protein-containing complex binding
GO:0031492,nucleosomal DNA binding,0.01781323027214814,1,zgc:110425,1.7492573179224673,Shewanella,nucleosomal DNA binding,nucleosomal DNA binding,nucleosomal DNA binding
GO:0070628,proteasome binding,1.6225955919196445e-5,4,psmg1/psmd14/adrm1/uchl5,4.7897897081976675,Flavobacterium,proteasome binding,proteasome binding,proteasome binding
GO:0003729,mRNA binding,0.004804858082703936,7,ilf3b/hnrnpa1a/hnrnpl2/ddx39ab/srsf7a/hnrnpl/ppp1r8b,2.318319435218906,Flavobacterium,mRNA binding,mRNA binding,mRNA binding
GO:0042056,chemoattractant activity,0.015367289783842941,1,vegfc,1.813402719078519,Cetobacterium,chemoattractant activity,chemoattractant activity,chemoattractant activity
