taxon_id,p,freq,freq_pred,pred_lwr,pred_upr,bino_pred,bino_lwr,bino_upr,partition,Time,genus_label,is_culici
ASV3790,5.38019343864717e-6,0.00425531914893617,0.0019417890183805716,1.8816055197545838e-4,0.019716673737711438,0.05381701438275669,0.03148916193231056,0.0904974300289397,neutral,60,Cetobacterium,TRUE
ASV4478,1.1174247911036433e-5,0.00851063829787234,0.004029115820448658,6.847104682067018e-4,0.023327633471672462,0.10853959711858056,0.07488724521071058,0.15478422697539942,neutral,60,Cetobacterium,TRUE
ASV5934,2.1934634788330774e-5,0.00425531914893617,0.00789506190842362,0.002075868221374836,0.029544010316223848,0.2019103850568102,0.15557006901569223,0.25783948008407975,neutral,60,Cetobacterium,TRUE
ASV0958,4.759401888034036e-5,0.02127659574468085,0.017058891631709497,0.006659822195912411,0.04299293887058493,0.386989581851598,0.3270105871066082,0.4506038321319547,neutral,60,Cetobacterium,TRUE
ASV5683,6.207915506131352e-5,0.02553191489361702,0.022197979695432208,0.009679905622655735,0.050085720278430355,0.47181975776363283,0.4089613701131237,0.535584631588215,neutral,60,Cetobacterium,TRUE
ASV1385,1.9037607552136143e-4,0.22127659574468084,0.0666598052938654,0.041237458687657304,0.10602159542495085,0.858807794555722,0.808499577403895,0.8975740844882495,above,60,Cetobacterium,TRUE
ASV2171,2.9053044568694725e-4,0.10638297872340426,0.10007947209860078,0.06791206403542573,0.1451112986515056,0.9495951595498651,0.9136912942988381,0.9710367007142618,neutral,60,Cetobacterium,TRUE
ASV2835,0.0018640300959743737,0.35319148936170214,0.4997884918234896,0.4363810984496952,0.5632026888732816,0.9999999953380995,0.9839162721968175,0.9999999999999987,below,60,Cetobacterium,TRUE
ASV5539,0.005976981049303265,0.7489361702127659,0.9030629005890851,0.8585012903480138,0.9346590102641521,1,0.9839162813706559,1.0000000000000002,below,60,Cetobacterium,TRUE
ASV6029,0.007875361611078232,0.4978723404255319,0.9563960889863254,0.9221368379774684,0.9759742474376042,1,0.9839162813706559,1.0000000000000002,below,60,Cetobacterium,TRUE
